transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
ERCC_00002	1	0.667482880452098	FALSE	TRUE
ERCC_00003	1	0.667482880452098	FALSE	TRUE
ERCC_00004	1	0.667482880452098	FALSE	TRUE
ERCC_00009	1	0.667482880452098	FALSE	TRUE
ERCC_00012	1	0.667482880452098	FALSE	TRUE
ERCC_00013	1	0.667482880452098	FALSE	TRUE
ERCC_00014	1	0.667482880452098	FALSE	TRUE
ERCC_00016	1	0.667482880452098	FALSE	TRUE
ERCC_00017	1	0.667482880452098	FALSE	TRUE
ERCC_00019	1	0.667482880452098	FALSE	TRUE
ERCC_00022	1	0.667482880452098	FALSE	TRUE
ERCC_00024	1	0.667482880452098	FALSE	TRUE
ERCC_00025	1	0.667482880452098	FALSE	TRUE
ERCC_00028	1	0.667482880452098	FALSE	TRUE
ERCC_00031	1	0.667482880452098	FALSE	TRUE
ERCC_00033	1	0.667482880452098	FALSE	TRUE
ERCC_00034	1	0.667482880452098	FALSE	TRUE
ERCC_00035	1	0.667482880452098	FALSE	TRUE
ERCC_00039	1	0.667482880452098	FALSE	TRUE
ERCC_00040	1	0.667482880452098	FALSE	TRUE
ERCC_00041	1	0.667482880452098	FALSE	TRUE
ERCC_00042	1	0.667482880452098	FALSE	TRUE
ERCC_00043	1	0.667482880452098	FALSE	TRUE
ERCC_00044	1	0.667482880452098	FALSE	TRUE
ERCC_00046	1	0.667482880452098	FALSE	TRUE
ERCC_00048	1	0.667482880452098	FALSE	TRUE
ERCC_00051	1	0.667482880452098	FALSE	TRUE
ERCC_00053	1	0.667482880452098	FALSE	TRUE
ERCC_00054	1	0.667482880452098	FALSE	TRUE
ERCC_00057	1	0.667482880452098	FALSE	TRUE
ERCC_00058	1	0.667482880452098	FALSE	TRUE
ERCC_00059	1	0.667482880452098	FALSE	TRUE
ERCC_00060	1	0.667482880452098	FALSE	TRUE
ERCC_00061	1	0.667482880452098	FALSE	TRUE
ERCC_00062	1	0.667482880452098	FALSE	TRUE
ERCC_00067	1	0.667482880452098	FALSE	TRUE
ERCC_00069	1	0.667482880452098	FALSE	TRUE
ERCC_00071	1	0.667482880452098	FALSE	TRUE
ERCC_00073	1	0.667482880452098	FALSE	TRUE
ERCC_00074	1	0.667482880452098	FALSE	TRUE
ERCC_00075	1	0.667482880452098	FALSE	TRUE
ERCC_00076	1	0.667482880452098	FALSE	TRUE
ERCC_00077	1	0.667482880452098	FALSE	TRUE
ERCC_00078	1	0.667482880452098	FALSE	TRUE
ERCC_00079	1	0.667482880452098	FALSE	TRUE
ERCC_00081	1	0.667482880452098	FALSE	TRUE
ERCC_00083	1	0.667482880452098	FALSE	TRUE
ERCC_00084	1	0.667482880452098	FALSE	TRUE
ERCC_00085	1	0.667482880452098	FALSE	TRUE
ERCC_00086	1	0.667482880452098	FALSE	TRUE
ERCC_00092	1	0.667482880452098	FALSE	TRUE
ERCC_00095	1	0.667482880452098	FALSE	TRUE
